Timestamp,Sender,Sender ID,Message,Reactions
2025-03-17 09:55:43,chromowolf,475221433576849408,"Wow, franky really quitted. No wonder it's so quiet today","{""<:doomer:1209649687595061258>"": 2}"
2025-03-17 09:23:33,elf10191,1051341529484116058,🤣,{}
2025-03-17 07:01:41,chromowolf,475221433576849408,"This bot likes insulting me, gotta make it behave",{}
2025-03-17 07:01:33,chromowolf,475221433576849408,,{}
2025-03-17 06:40:51,chromowolf,475221433576849408,I need some time to fine-tune it so it works well and behaves properly.,{}
2025-03-17 06:39:18,chromowolf,475221433576849408,,"{""\ud83e\udd23"": 2}"
2025-03-17 06:39:05,chromowolf,475221433576849408,"The ""/chat"" command coming soon. Franky's gonna regret he misses this",{}
2025-03-17 05:38:23,yassae1996,1050046010346450964,<:thinkin:1189392971435614208>,{}
2025-03-17 05:38:18,yassae1996,1050046010346450964,also im waiting u to upload last 2v2,{}
2025-03-17 05:34:24,chromowolf,475221433576849408,https://discord.com/channels/1017983242915287071/1017991048464711820/1329157603753988126,"{""\ud83d\udc4d"": 1}"
2025-03-17 05:34:07,chromowolf,475221433576849408,see announcements. That link always links to the latest version,"{""\ud83d\udc4d"": 1}"
2025-03-17 05:32:57,yassae1996,1050046010346450964,<@475221433576849408> where is link of new update of ur app,{}
2025-03-17 01:32:36,jo_dune,803311870210998283,Frank leave why i must feel sad everyday,"{""\ud83e\udd23"": 1}"
2025-03-17 01:26:43,franksteino,1130461169505796096,<:lesgo:1189394298513408050>,"{""\ud83d\udc4d"": 2}"
2025-03-17 01:26:34,franksteino,1130461169505796096,Brb in couple days bois,{}
2025-03-17 01:25:30,franksteino,1130461169505796096,Jo still fighting with the bot huh 😔,"{""\ud83e\udd23"": 5}"
2025-03-17 01:24:57,jo_dune,803311870210998283,🖕🏼,{}
2025-03-17 01:24:42,Crysknife,1349699204884463666,"<@803311870210998283>: *adjusts glasses* ""Well actually, Dog wanted attention.""",{}
2025-03-17 01:24:31,Crysknife,1349699204884463666,"""Lag spike hit at the wrong moment."" - <@803311870210998283>",{}
2025-03-17 01:23:56,jo_dune,803311870210998283,Helkor,{}
2025-03-17 01:14:35,he1kor,311500558424997888,so you don't play now without spectators,{}
2025-03-17 01:10:12,jo_dune,803311870210998283,Sleeping,{}
2025-03-17 01:10:06,jo_dune,803311870210998283,Tmrw we can now all ppl slt,{}
